,event_type,log_feature,volume,resource_type,severity_type
1307,event_type 14,feature 48,1,resource_type 6,severity_type 1
1308,event_type 34,feature 221,1,resource_type 2,severity_type 2
1309,event_type 23,feature 54,2,resource_type 8,severity_type 1
1310,event_type 22,feature 170,16,resource_type 7,severity_type 1
1311,event_type 11,feature 170,1,resource_type 8,severity_type 1
1312,event_type 34,feature 314,8,resource_type 2,severity_type 2
1313,event_type 11,feature 305,1,resource_type 7,severity_type 2
1314,event_type 15,feature 193,5,resource_type 8,severity_type 1
1315,event_type 34,feature 232,1,resource_type 2,severity_type 2
1316,event_type 11,feature 307,1,resource_type 8,severity_type 1
1317,event_type 35,feature 219,1,resource_type 2,severity_type 1
1318,event_type 35,feature 235,4,resource_type 2,severity_type 2
1319,event_type 15,feature 82,15,resource_type 8,severity_type 2
1320,event_type 20,feature 227,1,resource_type 2,severity_type 1
1321,event_type 42,feature 120,3,resource_type 2,severity_type 1
1322,event_type 35,feature 235,21,resource_type 2,severity_type 2
1323,event_type 11,feature 232,1,resource_type 2,severity_type 2
1324,event_type 34,feature 312,18,resource_type 2,severity_type 2
1325,event_type 11,feature 71,1,resource_type 8,severity_type 1
1326,event_type 13,feature 345,1,resource_type 8,severity_type 1
1327,event_type 35,feature 221,1,resource_type 2,severity_type 2
1328,event_type 15,feature 80,3,resource_type 1,severity_type 1
1329,event_type 11,feature 54,1,resource_type 6,severity_type 1
1330,event_type 20,feature 134,1,resource_type 2,severity_type 1
1331,event_type 44,feature 375,4,resource_type 2,severity_type 1
1332,event_type 20,feature 218,2,resource_type 9,severity_type 1
1333,event_type 34,feature 227,1,resource_type 2,severity_type 2
1334,event_type 35,feature 234,6,resource_type 2,severity_type 2
1335,event_type 35,feature 312,1,resource_type 2,severity_type 2
1336,event_type 11,feature 193,1,resource_type 8,severity_type 1
1337,event_type 20,feature 191,1,resource_type 8,severity_type 1
1338,event_type 20,feature 312,12,resource_type 2,severity_type 1
1339,event_type 20,feature 301,1,resource_type 2,severity_type 1
1340,event_type 34,feature 219,1,resource_type 2,severity_type 1
1341,event_type 11,feature 211,5,resource_type 8,severity_type 1
1342,event_type 35,feature 232,6,resource_type 2,severity_type 2
1343,event_type 35,feature 234,8,resource_type 2,severity_type 2
1344,event_type 34,feature 228,4,resource_type 2,severity_type 2
1345,event_type 35,feature 233,1,resource_type 2,severity_type 1
1346,event_type 22,feature 75,24,resource_type 7,severity_type 1
1347,event_type 14,feature 306,1,resource_type 7,severity_type 1
1348,event_type 35,feature 309,1,resource_type 2,severity_type 2
1349,event_type 11,feature 82,22,resource_type 8,severity_type 1
1350,event_type 11,feature 141,1,resource_type 1,severity_type 1
1351,event_type 34,feature 314,26,resource_type 2,severity_type 2
1352,event_type 35,feature 233,5,resource_type 2,severity_type 2
1353,event_type 23,feature 68,8,resource_type 7,severity_type 1
1354,event_type 11,feature 73,2,resource_type 8,severity_type 2
1355,event_type 15,feature 82,11,resource_type 8,severity_type 2
1356,event_type 20,feature 44,1,resource_type 8,severity_type 1
1357,event_type 34,feature 216,1,resource_type 8,severity_type 1
1358,event_type 34,feature 315,2,resource_type 2,severity_type 2
1359,event_type 35,feature 312,6,resource_type 8,severity_type 2
1360,event_type 35,feature 227,1,resource_type 2,severity_type 2
1361,event_type 34,feature 235,1,resource_type 2,severity_type 2
1362,event_type 23,feature 273,1,resource_type 6,severity_type 1
1363,event_type 23,feature 68,46,resource_type 7,severity_type 1
1364,event_type 23,feature 197,2,resource_type 7,severity_type 2
1365,event_type 15,feature 76,1,resource_type 8,severity_type 2
1366,event_type 42,feature 368,4,resource_type 2,severity_type 1
1367,event_type 11,feature 203,2,resource_type 8,severity_type 1
1368,event_type 15,feature 203,1,resource_type 8,severity_type 2
1369,event_type 34,feature 229,3,resource_type 2,severity_type 2
1370,event_type 34,feature 219,1,resource_type 2,severity_type 1
1371,event_type 34,feature 314,62,resource_type 2,severity_type 2
1372,event_type 34,feature 314,20,resource_type 2,severity_type 2
1373,event_type 34,feature 315,4,resource_type 2,severity_type 2
1374,event_type 35,feature 312,1,resource_type 2,severity_type 2
1375,event_type 34,feature 314,18,resource_type 2,severity_type 2
1376,event_type 35,feature 313,5,resource_type 2,severity_type 2
1377,event_type 11,feature 193,2,resource_type 8,severity_type 1
1378,event_type 34,feature 233,20,resource_type 2,severity_type 2
1379,event_type 11,feature 118,2,resource_type 6,severity_type 1
1380,event_type 35,feature 134,1,resource_type 2,severity_type 1
1381,event_type 20,feature 54,157,resource_type 1,severity_type 1
1382,event_type 11,feature 193,9,resource_type 8,severity_type 1
1383,event_type 54,feature 113,16,resource_type 8,severity_type 1
1384,event_type 15,feature 68,1,resource_type 8,severity_type 2
1385,event_type 35,feature 94,1,resource_type 8,severity_type 1
1386,event_type 35,feature 230,1,resource_type 2,severity_type 2
1387,event_type 11,feature 81,2,resource_type 8,severity_type 1
1388,event_type 20,feature 307,1,resource_type 2,severity_type 1
1389,event_type 10,feature 298,1,resource_type 9,severity_type 1
1390,event_type 15,feature 71,6,resource_type 2,severity_type 1
1391,event_type 34,feature 232,1,resource_type 2,severity_type 1
1392,event_type 35,feature 233,1,resource_type 2,severity_type 2
1393,event_type 11,feature 209,1,resource_type 8,severity_type 2
1394,event_type 24,feature 345,1,resource_type 7,severity_type 1
1395,event_type 34,feature 227,1,resource_type 2,severity_type 2
1396,event_type 35,feature 307,1,resource_type 2,severity_type 4
1397,event_type 34,feature 314,8,resource_type 2,severity_type 2
1398,event_type 35,feature 232,4,resource_type 2,severity_type 2
1399,event_type 22,feature 54,1,resource_type 7,severity_type 1
1400,event_type 45,feature 368,5,resource_type 2,severity_type 1
1401,event_type 22,feature 170,3,resource_type 8,severity_type 1
1402,event_type 11,feature 203,9,resource_type 8,severity_type 1
1403,event_type 35,feature 232,2,resource_type 8,severity_type 1
1404,event_type 34,feature 227,1,resource_type 2,severity_type 1
1405,event_type 15,feature 193,1,resource_type 2,severity_type 1
1406,event_type 54,feature 71,6,resource_type 2,severity_type 1
1407,event_type 35,feature 312,1,resource_type 2,severity_type 4
1408,event_type 11,feature 163,4,resource_type 8,severity_type 1
1409,event_type 15,feature 203,2,resource_type 8,severity_type 1
1410,event_type 11,feature 312,1,resource_type 8,severity_type 1
1411,event_type 34,feature 234,39,resource_type 2,severity_type 2
1412,event_type 13,feature 54,1,resource_type 4,severity_type 1
1413,event_type 11,feature 201,5,resource_type 8,severity_type 1
1414,event_type 11,feature 273,2,resource_type 6,severity_type 1
1415,event_type 15,feature 2,1,resource_type 8,severity_type 1
1416,event_type 22,feature 75,1,resource_type 7,severity_type 2
1417,event_type 34,feature 313,5,resource_type 2,severity_type 2
1418,event_type 23,feature 306,1,resource_type 7,severity_type 1
1419,event_type 11,feature 163,2,resource_type 7,severity_type 1
1420,event_type 34,feature 235,1,resource_type 2,severity_type 2
1421,event_type 35,feature 232,3,resource_type 2,severity_type 2
1422,event_type 15,feature 203,25,resource_type 8,severity_type 2
1423,event_type 42,feature 291,4,resource_type 2,severity_type 1
1424,event_type 20,feature 219,1,resource_type 2,severity_type 1
1425,event_type 44,feature 368,1,resource_type 2,severity_type 1
1426,event_type 11,feature 310,1,resource_type 8,severity_type 1
1427,event_type 35,feature 233,5,resource_type 2,severity_type 2
1428,event_type 11,feature 179,1,resource_type 6,severity_type 1
1429,event_type 11,feature 312,63,resource_type 8,severity_type 2
1430,event_type 43,feature 291,14,resource_type 2,severity_type 1
1431,event_type 11,feature 164,1,resource_type 1,severity_type 1
1432,event_type 11,feature 192,10,resource_type 2,severity_type 2
1433,event_type 23,feature 75,4,resource_type 7,severity_type 2
1434,event_type 15,feature 68,133,resource_type 8,severity_type 1
1435,event_type 14,feature 68,11,resource_type 4,severity_type 1
1436,event_type 35,feature 312,12,resource_type 2,severity_type 2
1437,event_type 35,feature 232,4,resource_type 2,severity_type 2
1438,event_type 11,feature 80,7,resource_type 2,severity_type 1
1439,event_type 54,feature 51,1,resource_type 2,severity_type 1
1440,event_type 34,feature 312,8,resource_type 2,severity_type 2
1441,event_type 11,feature 218,1,resource_type 9,severity_type 1
1442,event_type 13,feature 345,2,resource_type 6,severity_type 1
1443,event_type 11,feature 223,2,resource_type 10,severity_type 1
1444,event_type 35,feature 219,2,resource_type 2,severity_type 1
1445,event_type 34,feature 312,3,resource_type 2,severity_type 2
1446,event_type 11,feature 179,16,resource_type 6,severity_type 1
1447,event_type 11,feature 170,3,resource_type 8,severity_type 1
1448,event_type 15,feature 203,2,resource_type 8,severity_type 1
1449,event_type 20,feature 306,1,resource_type 7,severity_type 1
1450,event_type 3,feature 141,5,resource_type 1,severity_type 1
1451,event_type 15,feature 82,8,resource_type 8,severity_type 1
1452,event_type 15,feature 82,24,resource_type 8,severity_type 2
1453,event_type 11,feature 306,1,resource_type 2,severity_type 1
1454,event_type 11,feature 345,1,resource_type 7,severity_type 1
1455,event_type 43,feature 290,4,resource_type 2,severity_type 1
1456,event_type 35,feature 313,55,resource_type 2,severity_type 2
1457,event_type 11,feature 193,1,resource_type 8,severity_type 1
1458,event_type 35,feature 308,3,resource_type 2,severity_type 2
1459,event_type 34,feature 313,9,resource_type 2,severity_type 2
1460,event_type 11,feature 358,1,resource_type 2,severity_type 1
1461,event_type 13,feature 87,4,resource_type 7,severity_type 1
1462,event_type 35,feature 313,74,resource_type 2,severity_type 2
1463,event_type 11,feature 306,1,resource_type 6,severity_type 1
1464,event_type 11,feature 223,1,resource_type 8,severity_type 1
1465,event_type 47,feature 285,16,resource_type 2,severity_type 1
1466,event_type 34,feature 228,14,resource_type 2,severity_type 2
1467,event_type 14,feature 54,13,resource_type 6,severity_type 1
1468,event_type 11,feature 201,5,resource_type 8,severity_type 1
1469,event_type 20,feature 219,1,resource_type 2,severity_type 1
1470,event_type 13,feature 68,4,resource_type 8,severity_type 1
1471,event_type 23,feature 54,4,resource_type 7,severity_type 1
1472,event_type 5,feature 198,2,resource_type 1,severity_type 1
1473,event_type 20,feature 134,1,resource_type 7,severity_type 1
1474,event_type 20,feature 135,1,resource_type 2,severity_type 1
1475,event_type 11,feature 193,15,resource_type 8,severity_type 1
1476,event_type 6,feature 76,3,resource_type 1,severity_type 1
1477,event_type 11,feature 232,1,resource_type 2,severity_type 1
1478,event_type 34,feature 358,1,resource_type 8,severity_type 1
1479,event_type 54,feature 54,1,resource_type 2,severity_type 1
1480,event_type 43,feature 376,36,resource_type 2,severity_type 1
1481,event_type 34,feature 211,1,resource_type 8,severity_type 1
1482,event_type 15,feature 82,9,resource_type 8,severity_type 1
1483,event_type 35,feature 232,1,resource_type 2,severity_type 2
1484,event_type 34,feature 232,6,resource_type 2,severity_type 2
1485,event_type 15,feature 2,2,resource_type 1,severity_type 1
1486,event_type 35,feature 312,2,resource_type 2,severity_type 2
1487,event_type 14,feature 209,4,resource_type 4,severity_type 1
1488,event_type 20,feature 221,1,resource_type 2,severity_type 1
1489,event_type 35,feature 315,1,resource_type 2,severity_type 2
1490,event_type 34,feature 227,1,resource_type 2,severity_type 2
1491,event_type 35,feature 307,1,resource_type 2,severity_type 2
1492,event_type 15,feature 82,5,resource_type 8,severity_type 1
1493,event_type 11,feature 219,1,resource_type 2,severity_type 1
1494,event_type 35,feature 314,2,resource_type 2,severity_type 2
1495,event_type 22,feature 128,1,resource_type 6,severity_type 1
1496,event_type 11,feature 70,1,resource_type 2,severity_type 1
1497,event_type 11,feature 170,1,resource_type 9,severity_type 1
1498,event_type 20,feature 75,2,resource_type 7,severity_type 1
1499,event_type 13,feature 345,4,resource_type 6,severity_type 1
1500,event_type 34,feature 233,7,resource_type 2,severity_type 2
1501,event_type 34,feature 233,5,resource_type 2,severity_type 2
1502,event_type 10,feature 154,1,resource_type 3,severity_type 1
1503,event_type 15,feature 82,23,resource_type 8,severity_type 2
1504,event_type 53,feature 289,122,resource_type 2,severity_type 1
1505,event_type 15,feature 201,5,resource_type 8,severity_type 2
1506,event_type 11,feature 182,1,resource_type 8,severity_type 1
1507,event_type 35,feature 233,8,resource_type 2,severity_type 2
1508,event_type 23,feature 306,1,resource_type 4,severity_type 1
1509,event_type 11,feature 70,2,resource_type 8,severity_type 1
1510,event_type 18,feature 170,2,resource_type 10,severity_type 1
1511,event_type 11,feature 68,12,resource_type 8,severity_type 1
1512,event_type 15,feature 203,14,resource_type 1,severity_type 1
1513,event_type 35,feature 307,1,resource_type 2,severity_type 1
1514,event_type 34,feature 227,2,resource_type 2,severity_type 2
1515,event_type 8,feature 80,5,resource_type 2,severity_type 1
1516,event_type 35,feature 312,1,resource_type 2,severity_type 2
1517,event_type 11,feature 191,4,resource_type 8,severity_type 1
1518,event_type 15,feature 196,22,resource_type 8,severity_type 1
1519,event_type 10,feature 153,8,resource_type 2,severity_type 1
1520,event_type 14,feature 273,2,resource_type 7,severity_type 1
1521,event_type 35,feature 314,2,resource_type 2,severity_type 2
1522,event_type 22,feature 54,7,resource_type 6,severity_type 1
1523,event_type 15,feature 82,6,resource_type 8,severity_type 1
1524,event_type 11,feature 88,1,resource_type 4,severity_type 1
1525,event_type 34,feature 307,1,resource_type 2,severity_type 1
1526,event_type 34,feature 312,2,resource_type 2,severity_type 2
1527,event_type 11,feature 170,34,resource_type 2,severity_type 1
1528,event_type 15,feature 82,18,resource_type 8,severity_type 2
1529,event_type 50,feature 289,1,resource_type 2,severity_type 1
1530,event_type 14,feature 134,1,resource_type 2,severity_type 1
1531,event_type 44,feature 368,94,resource_type 2,severity_type 1
1532,event_type 11,feature 81,3,resource_type 8,severity_type 1
1533,event_type 11,feature 134,1,resource_type 2,severity_type 1
1534,event_type 45,feature 376,4,resource_type 2,severity_type 1
1535,event_type 34,feature 232,16,resource_type 2,severity_type 1
1536,event_type 35,feature 232,1,resource_type 2,severity_type 2
1537,event_type 20,feature 134,1,resource_type 8,severity_type 1
1538,event_type 14,feature 47,2,resource_type 6,severity_type 1
1539,event_type 26,feature 349,1,resource_type 3,severity_type 1
1540,event_type 11,feature 195,4,resource_type 8,severity_type 1
1541,event_type 13,feature 54,3,resource_type 6,severity_type 1
1542,event_type 44,feature 375,10,resource_type 2,severity_type 1
1543,event_type 34,feature 235,1,resource_type 2,severity_type 2
1544,event_type 35,feature 234,9,resource_type 2,severity_type 2
1545,event_type 35,feature 232,2,resource_type 2,severity_type 2
1546,event_type 34,feature 312,13,resource_type 2,severity_type 1
1547,event_type 35,feature 312,1,resource_type 2,severity_type 2
1548,event_type 23,feature 306,4,resource_type 7,severity_type 1
1549,event_type 15,feature 201,5,resource_type 8,severity_type 1
1550,event_type 20,feature 232,1,resource_type 2,severity_type 1
1551,event_type 35,feature 94,2,resource_type 2,severity_type 1
1552,event_type 53,feature 284,104,resource_type 2,severity_type 1
1553,event_type 20,feature 134,1,resource_type 8,severity_type 1
1554,event_type 3,feature 7,1,resource_type 8,severity_type 1
1555,event_type 34,feature 312,17,resource_type 2,severity_type 2
1556,event_type 35,feature 234,13,resource_type 2,severity_type 2
1557,event_type 11,feature 52,1,resource_type 8,severity_type 1
1558,event_type 30,feature 133,2,resource_type 9,severity_type 5
1559,event_type 35,feature 307,1,resource_type 2,severity_type 2
1560,event_type 11,feature 134,1,resource_type 8,severity_type 1
1561,event_type 11,feature 360,2,resource_type 8,severity_type 2
1562,event_type 11,feature 82,115,resource_type 8,severity_type 1
1563,event_type 42,feature 376,31,resource_type 2,severity_type 1
1564,event_type 15,feature 51,13,resource_type 8,severity_type 2
1565,event_type 11,feature 209,1,resource_type 8,severity_type 1
1566,event_type 11,feature 182,1,resource_type 8,severity_type 1
1567,event_type 44,feature 291,2,resource_type 2,severity_type 1
1568,event_type 35,feature 312,1,resource_type 2,severity_type 2
1569,event_type 35,feature 233,1,resource_type 2,severity_type 2
1570,event_type 35,feature 312,7,resource_type 2,severity_type 2
1571,event_type 15,feature 203,25,resource_type 8,severity_type 1
1572,event_type 11,feature 96,5,resource_type 8,severity_type 1
1573,event_type 20,feature 219,1,resource_type 8,severity_type 1
1574,event_type 14,feature 306,1,resource_type 7,severity_type 1
1575,event_type 11,feature 39,1,resource_type 8,severity_type 1
1576,event_type 35,feature 219,1,resource_type 2,severity_type 1
1577,event_type 34,feature 307,1,resource_type 2,severity_type 2
1578,event_type 11,feature 54,16,resource_type 8,severity_type 1
1579,event_type 34,feature 312,24,resource_type 2,severity_type 2
1580,event_type 14,feature 54,1,resource_type 8,severity_type 2
1581,event_type 3,feature 191,2,resource_type 8,severity_type 1
1582,event_type 35,feature 219,1,resource_type 2,severity_type 1
1583,event_type 15,feature 82,38,resource_type 8,severity_type 2
1584,event_type 11,feature 47,6,resource_type 8,severity_type 1
1585,event_type 14,feature 170,3,resource_type 6,severity_type 1
1586,event_type 15,feature 203,4,resource_type 8,severity_type 2
1587,event_type 22,feature 134,1,resource_type 2,severity_type 1
1588,event_type 35,feature 230,2,resource_type 2,severity_type 2
1589,event_type 34,feature 314,1,resource_type 2,severity_type 2
1590,event_type 30,feature 55,8,resource_type 3,severity_type 1
1591,event_type 35,feature 232,1,resource_type 2,severity_type 2
1592,event_type 42,feature 376,12,resource_type 2,severity_type 1
1593,event_type 34,feature 44,2,resource_type 8,severity_type 1
1594,event_type 15,feature 71,3,resource_type 8,severity_type 1
1595,event_type 35,feature 312,1,resource_type 8,severity_type 1
1596,event_type 35,feature 315,3,resource_type 2,severity_type 2
1597,event_type 54,feature 203,8,resource_type 2,severity_type 1
1598,event_type 11,feature 71,3,resource_type 8,severity_type 1
1599,event_type 36,feature 219,1,resource_type 2,severity_type 1
1600,event_type 35,feature 316,3,resource_type 2,severity_type 2
1601,event_type 34,feature 234,18,resource_type 2,severity_type 2
1602,event_type 15,feature 82,16,resource_type 8,severity_type 2
1603,event_type 11,feature 54,2,resource_type 8,severity_type 1
1604,event_type 42,feature 376,10,resource_type 2,severity_type 1
1605,event_type 22,feature 222,1,resource_type 7,severity_type 2
1606,event_type 11,feature 170,8,resource_type 8,severity_type 1
1607,event_type 35,feature 232,3,resource_type 2,severity_type 2
1608,event_type 11,feature 82,10,resource_type 8,severity_type 1
1609,event_type 34,feature 233,72,resource_type 2,severity_type 2
1610,event_type 11,feature 74,1,resource_type 8,severity_type 1
1611,event_type 35,feature 233,4,resource_type 2,severity_type 2
1612,event_type 22,feature 170,1,resource_type 7,severity_type 1
1613,event_type 42,feature 283,5,resource_type 2,severity_type 1
1614,event_type 15,feature 82,2,resource_type 8,severity_type 1
1615,event_type 28,feature 55,3,resource_type 3,severity_type 1
1616,event_type 11,feature 170,7,resource_type 8,severity_type 1
1617,event_type 34,feature 230,26,resource_type 2,severity_type 2
1618,event_type 34,feature 314,67,resource_type 2,severity_type 2
1619,event_type 34,feature 307,2,resource_type 2,severity_type 2
1620,event_type 54,feature 71,3,resource_type 8,severity_type 1
1621,event_type 11,feature 202,1,resource_type 8,severity_type 1
1622,event_type 34,feature 232,1,resource_type 8,severity_type 2
1623,event_type 11,feature 273,2,resource_type 6,severity_type 1
1624,event_type 34,feature 232,4,resource_type 2,severity_type 2
1625,event_type 11,feature 71,1,resource_type 8,severity_type 1
1626,event_type 11,feature 55,2,resource_type 8,severity_type 1
1627,event_type 13,feature 179,32,resource_type 6,severity_type 1
1628,event_type 34,feature 230,1,resource_type 2,severity_type 2
1629,event_type 34,feature 237,2,resource_type 2,severity_type 1
1630,event_type 34,feature 233,1,resource_type 2,severity_type 2
1631,event_type 34,feature 314,3,resource_type 2,severity_type 2
1632,event_type 50,feature 289,2,resource_type 2,severity_type 1
1633,event_type 11,feature 227,1,resource_type 2,severity_type 2
1634,event_type 35,feature 232,1,resource_type 2,severity_type 2
1635,event_type 22,feature 304,3,resource_type 8,severity_type 1
1636,event_type 11,feature 76,21,resource_type 8,severity_type 1
1637,event_type 42,feature 368,9,resource_type 2,severity_type 1
1638,event_type 20,feature 134,1,resource_type 2,severity_type 1
1639,event_type 20,feature 280,3,resource_type 8,severity_type 1
1640,event_type 34,feature 312,1,resource_type 2,severity_type 2
1641,event_type 11,feature 195,1,resource_type 8,severity_type 2
1642,event_type 40,feature 46,1,resource_type 8,severity_type 2
1643,event_type 54,feature 82,4,resource_type 8,severity_type 1
1644,event_type 15,feature 82,8,resource_type 8,severity_type 2
1645,event_type 34,feature 308,32,resource_type 2,severity_type 2
1646,event_type 11,feature 211,1,resource_type 8,severity_type 1
1647,event_type 20,feature 154,1,resource_type 3,severity_type 1
1648,event_type 14,feature 345,1,resource_type 8,severity_type 1
1649,event_type 11,feature 203,7,resource_type 8,severity_type 1
1650,event_type 11,feature 80,16,resource_type 8,severity_type 1
1651,event_type 20,feature 273,1,resource_type 7,severity_type 1
1652,event_type 34,feature 313,2,resource_type 2,severity_type 2
1653,event_type 34,feature 307,2,resource_type 2,severity_type 2
1654,event_type 11,feature 219,1,resource_type 2,severity_type 1
1655,event_type 11,feature 55,4,resource_type 8,severity_type 1
1656,event_type 35,feature 312,65,resource_type 2,severity_type 2
1657,event_type 34,feature 233,4,resource_type 2,severity_type 2
1658,event_type 34,feature 307,6,resource_type 2,severity_type 2
1659,event_type 34,feature 316,1,resource_type 2,severity_type 2
1660,event_type 11,feature 71,1,resource_type 8,severity_type 1
1661,event_type 35,feature 211,1,resource_type 2,severity_type 1
1662,event_type 35,feature 230,1,resource_type 2,severity_type 2
1663,event_type 34,feature 232,1,resource_type 8,severity_type 2
1664,event_type 20,feature 169,2,resource_type 7,severity_type 1
1665,event_type 35,feature 232,10,resource_type 2,severity_type 2
1666,event_type 35,feature 235,1,resource_type 2,severity_type 2
1667,event_type 34,feature 312,14,resource_type 2,severity_type 2
1668,event_type 11,feature 35,2,resource_type 8,severity_type 2
1669,event_type 20,feature 219,1,resource_type 2,severity_type 1
1670,event_type 35,feature 233,1,resource_type 2,severity_type 2
1671,event_type 15,feature 82,16,resource_type 8,severity_type 2
1672,event_type 35,feature 232,2,resource_type 2,severity_type 2
1673,event_type 35,feature 314,4,resource_type 2,severity_type 2
1674,event_type 20,feature 221,1,resource_type 2,severity_type 1
1675,event_type 11,feature 85,1,resource_type 8,severity_type 1
1676,event_type 10,feature 150,1,resource_type 8,severity_type 2
1677,event_type 35,feature 301,1,resource_type 2,severity_type 1
1678,event_type 22,feature 222,8,resource_type 8,severity_type 1
1679,event_type 35,feature 219,1,resource_type 2,severity_type 1
1680,event_type 10,feature 150,2,resource_type 8,severity_type 1
1681,event_type 11,feature 273,2,resource_type 8,severity_type 1
1682,event_type 35,feature 227,1,resource_type 2,severity_type 2
1683,event_type 35,feature 229,1,resource_type 2,severity_type 2
1684,event_type 34,feature 310,2,resource_type 2,severity_type 2
1685,event_type 34,feature 307,3,resource_type 2,severity_type 2
1686,event_type 34,feature 312,1,resource_type 2,severity_type 2
1687,event_type 22,feature 222,1,resource_type 8,severity_type 1
1688,event_type 44,feature 368,12,resource_type 2,severity_type 1
1689,event_type 11,feature 193,21,resource_type 8,severity_type 1
1690,event_type 11,feature 273,4,resource_type 8,severity_type 1
1691,event_type 11,feature 56,1,resource_type 8,severity_type 1
1692,event_type 10,feature 212,1,resource_type 9,severity_type 1
1693,event_type 15,feature 82,24,resource_type 8,severity_type 1
1694,event_type 11,feature 306,2,resource_type 7,severity_type 4
1695,event_type 11,feature 203,13,resource_type 8,severity_type 1
1696,event_type 34,feature 233,6,resource_type 2,severity_type 2
1697,event_type 11,feature 71,4,resource_type 8,severity_type 1
1698,event_type 34,feature 94,1,resource_type 2,severity_type 1
1699,event_type 11,feature 193,20,resource_type 2,severity_type 1
1700,event_type 34,feature 354,4,resource_type 2,severity_type 1
1701,event_type 20,feature 312,6,resource_type 2,severity_type 1
1702,event_type 40,feature 219,2,resource_type 2,severity_type 1
1703,event_type 34,feature 310,27,resource_type 2,severity_type 2
1704,event_type 35,feature 221,1,resource_type 2,severity_type 1
1705,event_type 42,feature 376,8,resource_type 2,severity_type 1
1706,event_type 35,feature 278,1,resource_type 8,severity_type 1
1707,event_type 34,feature 232,15,resource_type 2,severity_type 2
1708,event_type 11,feature 278,1,resource_type 8,severity_type 1
1709,event_type 44,feature 368,2,resource_type 2,severity_type 1
1710,event_type 43,feature 375,4,resource_type 2,severity_type 1
1711,event_type 35,feature 315,2,resource_type 8,severity_type 1
1712,event_type 20,feature 219,1,resource_type 2,severity_type 1
1713,event_type 54,feature 193,1,resource_type 8,severity_type 1
1714,event_type 35,feature 313,46,resource_type 2,severity_type 2
1715,event_type 42,feature 123,4,resource_type 2,severity_type 1
1716,event_type 35,feature 313,3,resource_type 2,severity_type 2
1717,event_type 11,feature 345,8,resource_type 6,severity_type 1
1718,event_type 11,feature 306,1,resource_type 8,severity_type 1
1719,event_type 11,feature 70,2,resource_type 8,severity_type 1
1720,event_type 11,feature 201,6,resource_type 8,severity_type 1
1721,event_type 14,feature 134,1,resource_type 4,severity_type 1
1722,event_type 35,feature 307,3,resource_type 8,severity_type 2
1723,event_type 35,feature 312,1,resource_type 2,severity_type 4
1724,event_type 44,feature 291,33,resource_type 2,severity_type 1
1725,event_type 20,feature 219,1,resource_type 2,severity_type 1
1726,event_type 11,feature 70,2,resource_type 8,severity_type 1
1727,event_type 34,feature 227,2,resource_type 2,severity_type 2
1728,event_type 11,feature 81,4,resource_type 8,severity_type 2
1729,event_type 15,feature 71,4,resource_type 8,severity_type 1
1730,event_type 11,feature 82,10,resource_type 8,severity_type 1
1731,event_type 22,feature 306,1,resource_type 2,severity_type 1
1732,event_type 20,feature 306,1,resource_type 7,severity_type 1
1733,event_type 34,feature 234,52,resource_type 2,severity_type 2
1734,event_type 34,feature 312,2,resource_type 2,severity_type 2
1735,event_type 35,feature 68,1,resource_type 8,severity_type 1
1736,event_type 35,feature 312,2,resource_type 2,severity_type 2
1737,event_type 11,feature 193,2,resource_type 8,severity_type 1
1738,event_type 35,feature 310,2,resource_type 2,severity_type 2
1739,event_type 14,feature 306,4,resource_type 8,severity_type 1
1740,event_type 15,feature 82,8,resource_type 8,severity_type 2
1741,event_type 15,feature 71,15,resource_type 8,severity_type 1
1742,event_type 13,feature 273,7,resource_type 6,severity_type 1
1743,event_type 34,feature 312,8,resource_type 2,severity_type 2
1744,event_type 11,feature 134,1,resource_type 8,severity_type 1
1745,event_type 11,feature 80,16,resource_type 8,severity_type 1
1746,event_type 35,feature 315,2,resource_type 2,severity_type 2
1747,event_type 22,feature 222,2,resource_type 8,severity_type 4
1748,event_type 35,feature 312,9,resource_type 2,severity_type 2
1749,event_type 11,feature 160,1,resource_type 2,severity_type 1
1750,event_type 11,feature 54,3,resource_type 8,severity_type 1
1751,event_type 54,feature 55,1,resource_type 2,severity_type 1
1752,event_type 54,feature 201,6,resource_type 8,severity_type 2
1753,event_type 13,feature 273,2,resource_type 8,severity_type 1
1754,event_type 11,feature 232,1,resource_type 8,severity_type 1
1755,event_type 22,feature 273,1,resource_type 6,severity_type 1
1756,event_type 11,feature 94,1,resource_type 2,severity_type 2
1757,event_type 34,feature 235,1,resource_type 2,severity_type 2
1758,event_type 11,feature 81,2,resource_type 8,severity_type 2
1759,event_type 11,feature 167,1,resource_type 2,severity_type 1
1760,event_type 15,feature 82,28,resource_type 8,severity_type 1
1761,event_type 13,feature 222,1,resource_type 6,severity_type 1
1762,event_type 11,feature 182,1,resource_type 2,severity_type 1
1763,event_type 22,feature 170,2,resource_type 8,severity_type 1
1764,event_type 35,feature 221,1,resource_type 2,severity_type 1
1765,event_type 44,feature 291,1,resource_type 2,severity_type 1
1766,event_type 14,feature 273,1,resource_type 10,severity_type 1
1767,event_type 54,feature 35,1,resource_type 8,severity_type 1
1768,event_type 35,feature 234,25,resource_type 2,severity_type 2
1769,event_type 15,feature 52,35,resource_type 8,severity_type 1
1770,event_type 34,feature 312,50,resource_type 2,severity_type 2
1771,event_type 34,feature 228,1,resource_type 2,severity_type 2
